Id,EventTypeId,IncsCount
9205,1,379
9206,1,391
9207,2,216
9208,1,2250
9210,2,1567
9211,2,1919
9213,2,1157
9214,1,614
9215,1,623
9209,1,1895
9217,1,947
9212,1,1235
9216,1,313
9219,1,353
9220,1,601
9223,1,792
9667,1,988
9254,4,524
9470,1,1574
9416,4,1319
9681,4,1800
9544,2,280
9712,3,172
9401,1,1461
9628,1,265
9295,4,397
9337,4,1005
9530,4,1052
9502,1,1291
9650,2,1304
9321,1,1081
9238,1,451
9628,2,287
9412,2,1176
9528,1,457
9579,4,1671
9234,4,450
9713,2,870
9524,1,1135
9340,4,1766
9292,3,470
9664,2,577
9459,4,1210
9504,4,334
9708,2,1048
9429,3,556
9244,4,406
9717,1,544
9446,2,1690
9482,1,1459
9602,4,1646
9337,1,470
9544,2,781
