@relation movies
@attribute 'MovieId' numeric
@attribute 'Title' string
@attribute 'IsAction' { 0, 1}
@attribute 'IsAdventure' { 0, 1}
@attribute 'IsAnimation' { 0, 1}
@attribute 'IsBiography' { 0, 1}
@attribute 'IsComedy' { 0, 1}
@attribute 'IsCrime' { 0, 1}
@attribute 'IsDrama' { 0, 1}
@attribute 'IsRomance' { 0, 1}
@attribute 'IsFantasy' { 0, 1}
@attribute 'IsHorror' { 0, 1}
@attribute 'IsMistery' { 0, 1}
@attribute 'IsHistory' { 0, 1}
@attribute 'IsFamily' { 0, 1}
@attribute 'IsSport' { 0, 1}
@attribute 'IsWar' { 0, 1}
@attribute 'IsWestern' { 0, 1}
@attribute 'IsSciFi' { 0, 1}
@attribute 'IsThriller' { 0, 1}
@attribute 'Year' numeric
@attribute 'Rating' real
@attribute 'Votes' numeric
@attribute 'CriticScore' numeric
@data
1,'Guardians of the Galaxy',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,8.1,757074,76
2,'Prometheus',0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,7,485820,65
3,'Split',0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2016,7.3,157606,62
4,'Sing',0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,7.2,60545,59
5,'Suicide Squad',1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2016,6.2,393727,40
6,'The Great Wall',1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2016,6.1,56036,42
7,'La La Land',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,8.3,258682,93
8,'Mindhorn',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,6.4,2490,71
9,'The Lost City of Z',1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,7.1,7188,78
10,'Passengers',0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2016,7,192177,41
11,'Fantastic Beasts and Where to Find Them',0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2016,7.5,232072,66
12,'Hidden Figures',0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016,7.8,93103,74
13,'Rogue One',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,7.9,323118,65
14,'Moana',0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,7.7,118151,81
15,'Colossal',1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,6.4,8612,70
16,'The Secret Life of Pets',0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,6.6,120259,61
17,'Hacksaw Ridge',0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016,8.2,211760,71
18,'Jason Bourne',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,6.7,150823,58
19,'Lion',0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,8.1,102061,69
20,'Arrival',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2016,8,340798,81
21,'Gold',0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2016,6.7,19053,49
22,'Manchester by the Sea',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,7.9,134213,96
23,'Hounds of Love',0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2016,6.7,1115,72
24,'Trolls',0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,6.5,38552,56
25,'Independence Day: Resurgence',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,5.3,127553,32
26,'Paris pieds nus',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,6.8,222
27,'Bahubali: The Beginning',1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,8.3,76193
