Rating,MovieId,Title,Director,LeadActor,Votes,CriticScore,IsAction,IsAdventure,IsAnimation,IsBiography,IsComedy,IsCrime,IsDrama,IsRomance,IsFantasy,IsHorror,IsMistery,IsHistory,IsFamily,IsSport,IsWar,IsWestern,IsSciFi,IsThriller
8.1,1,Guardians of the Galaxy,James Gunn,Chris Pratt,757074,76,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,2,Prometheus,Ridley Scott,Noomi Rapace,485820,65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7.3,3,Split,M. Night Shyamalan,James McAvoy,157606,62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
7.2,4,Sing,Christophe Lourdelet,Matthew McConaughey,60545,59,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6.2,5,Suicide Squad,David Ayer,Will Smith,393727,40,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6.1,6,The Great Wall,Yimou Zhang,Matt Damon,56036,42,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8.3,7,La La Land,Damien Chazelle,Ryan Gosling,258682,93,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6.4,8,Mindhorn,Sean Foley,Essie Davis,2490,71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7.1,9,The Lost City of Z,James Gray,Charlie Hunnam,7188,78,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,10,Passengers,Morten Tyldum,Jennifer Lawrence,192177,41,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7.5,11,Fantastic Beasts and Where to Find Them,David Yates,Eddie Redmayne,232072,66,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
7.8,12,Hidden Figures,Theodore Melfi,Taraji P. Henson,93103,74,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
